Date,Season,Week,home,visitor,FT,hgoal,vgoal,division,tier,totgoal,goaldiff,result,HT,hgoal_half,vgoal_half,half_totgoal,half_goaldiff,result_half,fans,neutral,home_red_card,visitor_red_card
2015-03-20,2014,25,Balikesirspor,Eskisehirspor,4-1,4,1,T1,1,5,3,H,2-1,2,1,3,1,H,1,0,0,0
2015-03-21,2014,25,Mersin Idmanyurdu,Gaziantepspor,0-1,0,1,T1,1,1,-1,A,0-1,0,1,1,-1,A,1,0,0,0
2015-03-21,2014,25,Kayseri Erciyesspor,Caykur Rizespor,0-3,0,3,T1,1,3,-3,A,0-2,0,2,2,-2,A,1,0,1,0
2015-03-21,2014,25,Sivasspor,Bursaspor,4-1,4,1,T1,1,5,3,H,4-0,4,0,4,4,H,1,0,0,2
2015-03-21,2014,25,Kasimpasa,Galatasaray,2-3,2,3,T1,1,5,-1,A,2-0,2,0,2,2,H,1,0,0,0
2015-03-22,2014,25,Basaksehir FK,Genclerbirligi,3-1,3,1,T1,1,4,2,H,0-0,0,0,0,0,D,1,0,0,0
2015-03-22,2014,25,Trabzonspor,Akhisarspor,2-0,2,0,T1,1,2,2,H,1-0,1,0,1,1,H,1,0,0,0
2015-03-22,2014,25,Fenerbahce,Besiktas,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-04-04,2014,26,Genclerbirligi,Kasimpasa,5-2,5,2,T1,1,7,3,H,2-1,2,1,3,1,H,1,0,0,0
2015-04-04,2014,26,Balikesirspor,Mersin Idmanyurdu,1-3,1,3,T1,1,4,-2,A,0-1,0,1,1,-1,A,1,0,0,0
2015-04-04,2014,26,Eskisehirspor,Sivasspor,1-3,1,3,T1,1,4,-2,A,1-0,1,0,1,1,H,1,0,0,0
2015-04-04,2014,26,Caykur Rizespor,Fenerbahce,1-5,1,5,T1,1,6,-4,A,0-3,0,3,3,-3,A,1,0,0,0
2015-04-05,2014,26,Galatasaray,Kardemir Karabukspor,4-2,4,2,T1,1,6,2,H,1-0,1,0,1,1,H,1,0,0,0
2015-04-05,2014,26,Konyaspor,Trabzonspor,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-04-05,2014,26,Akhisarspor,Gaziantepspor,3-0,3,0,T1,1,3,3,H,1-0,1,0,1,1,H,1,0,0,0
2015-04-05,2014,26,Bursaspor,Kayseri Erciyesspor,3-0,3,0,T1,1,3,3,H,2-0,2,0,2,2,H,1,0,0,0
2015-04-06,2014,26,Besiktas,Basaksehir FK,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-04-17,2014,27,Gaziantepspor,Konyaspor,1-1,1,1,T1,1,2,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-04-18,2014,27,Kardemir Karabukspor,Genclerbirligi,2-1,2,1,T1,1,3,1,H,1-1,1,1,2,0,D,1,0,0,1
2015-04-18,2014,27,Kasimpasa,Besiktas,1-5,1,5,T1,1,6,-4,A,1-2,1,2,3,-1,A,1,0,2,0
2015-04-19,2014,27,Basaksehir FK,Caykur Rizespor,3-1,3,1,T1,1,4,2,H,1-0,1,0,1,1,H,1,0,0,0
2015-04-19,2014,27,Trabzonspor,Galatasaray,2-1,2,1,T1,1,3,1,H,1-0,1,0,1,1,H,1,0,1,0
2015-04-19,2014,27,Kayseri Erciyesspor,Eskisehirspor,0-1,0,1,T1,1,1,-1,A,0-1,0,1,1,-1,A,1,0,0,0
2015-04-19,2014,27,Sivasspor,Balikesirspor,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-04-20,2014,27,Mersin Idmanyurdu,Akhisarspor,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-04-20,2014,27,Fenerbahce,Bursaspor,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-04-24,2014,28,Sivasspor,Mersin Idmanyurdu,1-2,1,2,T1,1,3,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-04-25,2014,28,Bursaspor,Basaksehir FK,4-1,4,1,T1,1,5,3,H,0-1,0,1,1,-1,A,1,0,0,0
2015-04-25,2014,28,Caykur Rizespor,Kasimpasa,1-3,1,3,T1,1,4,-2,A,0-1,0,1,1,-1,A,1,0,0,1
2015-04-25,2014,28,Eskisehirspor,Fenerbahce,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,0,0
2015-04-26,2014,28,Genclerbirligi,Trabzonspor,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,1,0
2015-04-26,2014,28,Balikesirspor,Kayseri Erciyesspor,1-1,1,1,T1,1,2,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-04-26,2014,28,Konyaspor,Akhisarspor,2-1,2,1,T1,1,3,1,H,1-1,1,1,2,0,D,1,0,0,0
2015-04-26,2014,28,Galatasaray,Gaziantepspor,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-04-27,2014,28,Besiktas,Kardemir Karabukspor,2-1,2,1,T1,1,3,1,H,1-0,1,0,1,1,H,1,0,1,1
2015-05-02,2014,29,Basaksehir FK,Eskisehirspor,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-05-02,2014,29,Mersin Idmanyurdu,Konyaspor,3-1,3,1,T1,1,4,2,H,3-1,3,1,4,2,H,1,0,0,0
2015-05-02,2014,29,Kardemir Karabukspor,Caykur Rizespor,2-0,2,0,T1,1,2,2,H,0-0,0,0,0,0,D,1,0,0,0
2015-05-02,2014,29,Fenerbahce,Balikesirspor,4-3,4,3,T1,1,7,1,H,3-3,3,3,6,0,D,1,0,0,0
2015-05-03,2014,29,Kasimpasa,Bursaspor,5-3,5,3,T1,1,8,2,H,2-2,2,2,4,0,D,1,0,0,0
2015-05-03,2014,29,Gaziantepspor,Genclerbirligi,0-3,0,3,T1,1,3,-3,A,0-0,0,0,0,0,D,1,0,0,0
2015-05-03,2014,29,Trabzonspor,Besiktas,0-2,0,2,T1,1,2,-2,A,0-0,0,0,0,0,D,1,0,0,0
2015-05-04,2014,29,Akhisarspor,Galatasaray,0-2,0,2,T1,1,2,-2,A,0-2,0,2,2,-2,A,1,0,0,0
2015-05-04,2014,29,Kayseri Erciyesspor,Sivasspor,2-3,2,3,T1,1,5,-1,A,2-0,2,0,2,2,H,1,0,0,0
2015-05-08,2014,30,Galatasaray,Konyaspor,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-05-08,2014,30,Kayseri Erciyesspor,Mersin Idmanyurdu,2-2,2,2,T1,1,4,0,D,1-0,1,0,1,1,H,1,0,1,0
2015-05-08,2014,30,Eskisehirspor,Kasimpasa,4-1,4,1,T1,1,5,3,H,3-0,3,0,3,3,H,1,0,0,0
2015-05-09,2014,30,Genclerbirligi,Akhisarspor,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,1,1
2015-05-09,2014,30,Bursaspor,Kardemir Karabukspor,7-1,7,1,T1,1,8,6,H,2-1,2,1,3,1,H,1,0,0,0
2015-05-09,2014,30,Balikesirspor,Basaksehir FK,1-2,1,2,T1,1,3,-1,A,0-1,0,1,1,-1,A,1,0,1,1
2015-05-09,2014,30,Sivasspor,Fenerbahce,2-3,2,3,T1,1,5,-1,A,2-1,2,1,3,1,H,1,0,0,0
2015-05-10,2014,30,Caykur Rizespor,Trabzonspor,0-2,0,2,T1,1,2,-2,A,0-1,0,1,1,-1,A,1,0,0,0
2015-05-10,2014,30,Besiktas,Gaziantepspor,1-1,1,1,T1,1,2,0,D,1-1,1,1,2,0,D,1,0,0,1
2015-05-12,2014,31,Mersin Idmanyurdu,Galatasaray,0-1,0,1,T1,1,1,-1,A,0-1,0,1,1,-1,A,1,0,0,0
2015-05-12,2014,31,Kardemir Karabukspor,Eskisehirspor,2-2,2,2,T1,1,4,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-05-12,2014,31,Konyaspor,Genclerbirligi,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-05-12,2014,31,Basaksehir FK,Sivasspor,2-1,2,1,T1,1,3,1,H,0-1,0,1,1,-1,A,1,0,0,0
2015-05-12,2014,31,Kasimpasa,Balikesirspor,2-3,2,3,T1,1,5,-1,A,1-1,1,1,2,0,D,1,0,0,0
2015-05-13,2014,31,Trabzonspor,Bursaspor,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-05-13,2014,31,Gaziantepspor,Caykur Rizespor,1-2,1,2,T1,1,3,-1,A,0-1,0,1,1,-1,A,1,0,0,0
2015-05-13,2014,31,Fenerbahce,Kayseri Erciyesspor,1-1,1,1,T1,1,2,0,D,1-1,1,1,2,0,D,1,0,0,0
2015-05-14,2014,31,Akhisarspor,Besiktas,1-1,1,1,T1,1,2,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-05-16,2014,32,Sivasspor,Kasimpasa,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-05-16,2014,32,Galatasaray,Genclerbirligi,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-05-16,2014,32,Balikesirspor,Kardemir Karabukspor,4-2,4,2,T1,1,6,2,H,2-1,2,1,3,1,H,1,0,0,0
2015-05-17,2014,32,Kayseri Erciyesspor,Basaksehir FK,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-05-17,2014,32,Bursaspor,Gaziantepspor,2-0,2,0,T1,1,2,2,H,1-0,1,0,1,1,H,1,0,0,1
2015-05-17,2014,32,Eskisehirspor,Trabzonspor,2-0,2,0,T1,1,2,2,H,2-0,2,0,2,2,H,1,0,0,0
2015-05-17,2014,32,Mersin Idmanyurdu,Fenerbahce,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,1,0
2015-05-18,2014,32,Besiktas,Konyaspor,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-05-18,2014,32,Caykur Rizespor,Akhisarspor,3-1,3,1,T1,1,4,2,H,1-0,1,0,1,1,H,1,0,0,0
2015-05-22,2014,33,Genclerbirligi,Mersin Idmanyurdu,1-2,1,2,T1,1,3,-1,A,1-0,1,0,1,1,H,1,0,0,0
2015-05-23,2014,33,Konyaspor,Caykur Rizespor,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,0,0
2015-05-23,2014,33,Trabzonspor,Balikesirspor,3-2,3,2,T1,1,5,1,H,1-1,1,1,2,0,D,1,0,0,0
2015-05-23,2014,33,Kasimpasa,Kayseri Erciyesspor,3-3,3,3,T1,1,6,0,D,1-1,1,1,2,0,D,1,0,0,0
2015-05-24,2014,33,Gaziantepspor,Eskisehirspor,3-2,3,2,T1,1,5,1,H,2-0,2,0,2,2,H,1,0,1,0
2015-05-24,2014,33,Kardemir Karabukspor,Sivasspor,2-1,2,1,T1,1,3,1,H,0-1,0,1,1,-1,A,1,0,0,0
2015-05-24,2014,33,Galatasaray,Besiktas,2-0,2,0,T1,1,2,2,H,1-0,1,0,1,1,H,1,0,0,0
2015-05-25,2014,33,Akhisarspor,Bursaspor,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-05-25,2014,33,Basaksehir FK,Fenerbahce,2-2,2,2,T1,1,4,0,D,0-0,0,0,0,0,D,1,0,0,4
2015-05-29,2014,34,Eskisehirspor,Akhisarspor,1-3,1,3,T1,1,4,-2,A,0-1,0,1,1,-1,A,1,0,0,1
2015-05-29,2014,34,Besiktas,Genclerbirligi,2-1,2,1,T1,1,3,1,H,1-0,1,0,1,1,H,1,0,0,0
2015-05-29,2014,34,Kayseri Erciyesspor,Kardemir Karabukspor,4-3,4,3,T1,1,7,1,H,1-2,1,2,3,-1,A,1,0,0,1
2015-05-29,2014,34,Balikesirspor,Gaziantepspor,1-1,1,1,T1,1,2,0,D,1-1,1,1,2,0,D,1,0,0,0
2015-05-30,2014,34,Caykur Rizespor,Galatasaray,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,0,1
2015-05-30,2014,34,Fenerbahce,Kasimpasa,2-0,2,0,T1,1,2,2,H,0-0,0,0,0,0,D,1,0,0,0
2015-05-30,2014,34,Bursaspor,Konyaspor,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,1,1
2015-05-30,2014,34,Mersin Idmanyurdu,Basaksehir FK,2-2,2,2,T1,1,4,0,D,0-0,0,0,0,0,D,1,0,1,0
2015-05-30,2014,34,Sivasspor,Trabzonspor,1-1,1,1,T1,1,2,0,D,1-1,1,1,2,0,D,1,0,0,0
2015-08-14,2015,1,Fenerbahce,Eskisehirspor,2-0,2,0,T1,1,2,2,H,2-0,2,0,2,2,H,1,0,0,1
2015-08-15,2015,1,Basaksehir FK,Antalyaspor,2-3,2,3,T1,1,5,-1,A,0-1,0,1,1,-1,A,1,0,0,0
2015-08-15,2015,1,Sivasspor,Galatasaray,2-2,2,2,T1,1,4,0,D,1-0,1,0,1,1,H,1,0,0,0
2015-08-15,2015,1,Trabzonspor,Bursaspor,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
2015-08-16,2015,1,Konyaspor,Akhisarspor,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,0,0
2015-08-16,2015,1,Osmanlispor FK,Kayserispor,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,0,0
2015-08-16,2015,1,Gaziantepspor,Kasimpasa,0-3,0,3,T1,1,3,-3,A,0-0,0,0,0,0,D,1,0,1,0
2015-08-16,2015,1,Mersin Idmanyurdu,Besiktas,2-5,2,5,T1,1,7,-3,A,1-2,1,2,3,-1,A,1,0,1,0
2015-08-17,2015,1,Genclerbirligi,Caykur Rizespor,2-3,2,3,T1,1,5,-1,A,0-1,0,1,1,-1,A,1,0,0,0
2015-08-21,2015,2,Kasimpasa,Basaksehir FK,1-0,1,0,T1,1,1,1,H,1-0,1,0,1,1,H,1,0,0,0
2015-08-22,2015,2,Besiktas,Trabzonspor,1-2,1,2,T1,1,3,-1,A,0-0,0,0,0,0,D,1,0,1,0
2015-08-22,2015,2,Akhisarspor,Mersin Idmanyurdu,2-0,2,0,T1,1,2,2,H,0-0,0,0,0,0,D,1,1,0,1
2015-08-22,2015,2,Kayserispor,Konyaspor,1-1,1,1,T1,1,2,0,D,1-1,1,1,2,0,D,0,0,0,0
2015-08-23,2015,2,Bursaspor,Gaziantepspor,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-08-23,2015,2,Eskisehirspor,Sivasspor,4-2,4,2,T1,1,6,2,H,2-0,2,0,2,2,H,1,0,0,0
2015-08-23,2015,2,Antalyaspor,Genclerbirligi,3-1,3,1,T1,1,4,2,H,0-1,0,1,1,-1,A,1,0,0,0
2015-08-23,2015,2,Caykur Rizespor,Fenerbahce,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,0,0
2015-08-24,2015,2,Galatasaray,Osmanlispor FK,1-2,1,2,T1,1,3,-1,A,1-1,1,1,2,0,D,1,0,0,0
2015-08-28,2015,3,Gaziantepspor,Besiktas,0-4,0,4,T1,1,4,-4,A,0-0,0,0,0,0,D,1,0,0,0
2015-08-29,2015,3,Mersin Idmanyurdu,Kayserispor,1-2,1,2,T1,1,3,-1,A,0-0,0,0,0,0,D,1,0,0,0
2015-08-29,2015,3,Konyaspor,Galatasaray,1-4,1,4,T1,1,5,-3,A,1-2,1,2,3,-1,A,1,0,0,1
2015-08-29,2015,3,Basaksehir FK,Bursaspor,2-1,2,1,T1,1,3,1,H,1-1,1,1,2,0,D,1,0,0,1
2015-08-29,2015,3,Genclerbirligi,Kasimpasa,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
